|   iter    |  target   |   alpha   |     k     |     l     |
|  32       | -1.222    |  0.02784  |  1.447    |  13.32    |
|  33       | -0.9877   |  0.02668  |  1.461    |  13.32    |
|  34       | -44.79    |  0.09125  |  3.506    |  13.72    |
|  35       | -8.502    |  0.02209  |  2.048    |  6.163    |
|  36       | -29.89    |  0.005754 |  1.494    |  13.36    |
|  37       | -4.111    |  0.02064  |  1.171    |  5.805    |
|  38       | -293.8    |  0.08738  |  1.58     |  1.985    |
|  39       | -12.04    |  0.01705  |  1.512    |  13.36    |
|  40       | -1.23     |  0.02655  |  1.479    |  13.29    |
|  41       | -15.21    |  0.02578  |  1.149    |  5.793    |
|  42       | -14.61    |  0.007904 |  1.194    |  5.779    |
|  43       | -12.75    |  0.04321  |  1.446    |  13.28    |
|  44       | -20.56    |  0.02781  |  1.201    |  5.794    |
|  45       | -143.7    |  0.05095  |  3.536    |  2.699    |
|  46       | -1.058    |  0.02795  |  1.489    |  13.28    |
|  47       | -1.819    |  0.01819  |  1.163    |  5.79     |
|  48       | -142.7    |  0.1622   |  3.242    |  12.56    |
|  49       | -1.498    |  0.01834  |  1.144    |  5.789    |
|  50       | -0.8848   |  0.01512  |  2.047    |  6.162    |
|  51       | -7.626    |  0.01959  |  1.485    |  13.26    |
|  52       | -20.42    |  0.006357 |  1.181    |  5.809    |
|  53       | -10.51    |  0.00971  |  1.148    |  5.788    |
|  54       | -13.3     |  0.01504  |  1.464    |  13.28    |
|  55       | -1.189    |  0.02963  |  1.502    |  13.36    |
=============================================================
|   iter    |  target   |   alpha   |     k     |     l     |
-------------------------------------------------------------
|  1        | -781.1    |  0.0834   |  3.161    |  1.001    |
|  2        | -2.053e+0 |  0.06047  |  1.44     |  2.2      |
|  3        | -3.441e+0 |  0.03725  |  2.037    |  6.158    |
|  4        | -1.43e+03 |  0.1078   |  2.258    |  9.908    |
|  5        | -2.857e+0 |  0.04089  |  3.634    |  1.356    |
|  6        | -2.617e+0 |  0.07517  |  3.37     |  11.07    |
|  7        | -93.32    |  0.1065   |  3.362    |  3.274    |
|  8        | -1.249e+0 |  0.1192   |  1.783    |  10.71    |
